SysTime,    Time,[CH4]_ppm,[CH4]d_ppm
21/01/2025 14:19:58.115, 21/01/2025 13:19:58.061, 8.27280e+2, 4.10223e+2
21/01/2025 14:19:59.105, 21/01/2025 13:19:59.051, 8.24487e+2, 8.17622e+2
21/01/2025 14:20:00.108, 21/01/2025 13:20:00.046, 8.20252e+2, 8.13257e+2
21/01/2025 14:20:01.095, 21/01/2025 13:20:01.040, 8.21410e+2, 8.14025e+2
21/01/2025 14:20:02.096, 21/01/2025 13:20:02.035, 8.19528e+2, 8.12290e+2
21/01/2025 14:20:03.089, 21/01/2025 13:20:03.031, 8.18834e+2, 8.11417e+2
21/01/2025 14:20:04.087, 21/01/2025 13:20:04.024, 8.14871e+2, 8.07386e+2
21/01/2025 14:20:05.081, 21/01/2025 13:20:05.018, 8.14947e+2, 8.07588e+2
21/01/2025 14:20:06.072, 21/01/2025 13:20:06.013, 8.13004e+2, 8.05636e+2
21/01/2025 14:20:07.068, 21/01/2025 13:20:07.007, 8.12496e+2, 8.04737e+2
21/01/2025 14:20:08.065, 21/01/2025 13:20:08.001, 8.11377e+2, 8.03810e+2
21/01/2025 14:20:09.105, 21/01/2025 13:20:08.996, 8.10489e+2, 8.02841e+2
21/01/2025 14:20:10.067, 21/01/2025 13:20:09.991, 8.08223e+2, 8.00422e+2
21/01/2025 14:20:11.074, 21/01/2025 13:20:10.985, 8.10317e+2, 8.02674e+2
21/01/2025 14:20:12.043, 21/01/2025 13:20:11.980, 8.09081e+2, 8.01326e+2
21/01/2025 14:20:13.043, 21/01/2025 13:20:12.974, 8.01456e+2, 7.93802e+2
21/01/2025 14:20:14.061, 21/01/2025 13:20:13.970, 7.51599e+2, 7.44797e+2
21/01/2025 14:20:15.041, 21/01/2025 13:20:14.964, 6.55932e+2, 6.50836e+2
21/01/2025 14:20:16.036, 21/01/2025 13:20:15.958, 5.43562e+2, 5.40070e+2
21/01/2025 14:20:17.030, 21/01/2025 13:20:16.952, 4.37633e+2, 4.35256e+2
21/01/2025 14:20:18.029, 21/01/2025 13:20:17.951, 3.43201e+2, 3.41762e+2
21/01/2025 14:20:19.025, 21/01/2025 13:20:18.942, 2.65689e+2, 2.64872e+2
21/01/2025 14:20:20.043, 21/01/2025 13:20:19.936, 2.05390e+2, 2.04950e+2
21/01/2025 14:20:21.016, 21/01/2025 13:20:20.931, 1.58779e+2, 1.58498e+2
21/01/2025 14:20:22.044, 21/01/2025 13:20:21.925, 1.20765e+2, 1.20601e+2
21/01/2025 14:20:23.007, 21/01/2025 13:20:22.920, 9.66511e+1, 9.65558e+1
21/01/2025 14:20:23.988, 21/01/2025 13:20:23.914, 7.63684e+1, 7.63160e+1
21/01/2025 14:20:24.987, 21/01/2025 13:20:24.909, 6.08729e+1, 6.08763e+1
21/01/2025 14:20:25.987, 21/01/2025 13:20:25.903, 4.90803e+1, 4.91075e+1
21/01/2025 14:20:26.967, 21/01/2025 13:20:26.897, 4.00358e+1, 4.00709e+1
21/01/2025 14:20:27.988, 21/01/2025 13:20:27.892, 3.26708e+1, 3.27142e+1
21/01/2025 14:20:28.957, 21/01/2025 13:20:28.886, 2.60542e+1, 2.60967e+1
21/01/2025 14:20:30.021, 21/01/2025 13:20:29.881, 2.13839e+1, 2.14263e+1
21/01/2025 14:20:30.945, 21/01/2025 13:20:30.876, 1.77328e+1, 1.77692e+1
21/01/2025 14:20:31.949, 21/01/2025 13:20:31.870, 1.46387e+1, 1.46723e+1
21/01/2025 14:20:32.973, 21/01/2025 13:20:32.864, 1.21912e+1, 1.22228e+1
21/01/2025 14:20:33.937, 21/01/2025 13:20:33.859, 1.04333e+1, 1.04608e+1
21/01/2025 14:20:34.926, 21/01/2025 13:20:34.854, 8.89749e+0, 8.92090e+0
21/01/2025 14:20:35.927, 21/01/2025 13:20:35.848, 7.62768e+0, 7.64987e+0
21/01/2025 14:20:36.913, 21/01/2025 13:20:36.843, 6.64796e+0, 6.66713e+0
21/01/2025 14:20:37.930, 21/01/2025 13:20:37.837, 5.94002e+0, 5.95716e+0
21/01/2025 14:20:38.906, 21/01/2025 13:20:38.832, 5.32291e+0, 5.33885e+0
21/01/2025 14:20:39.905, 21/01/2025 13:20:39.843, 4.83443e+0, 4.84847e+0
21/01/2025 14:20:40.881, 21/01/2025 13:20:40.821, 4.44702e+0, 4.46070e+0
21/01/2025 14:20:41.877, 21/01/2025 13:20:41.817, 4.10586e+0, 4.11792e+0
21/01/2025 14:20:42.873, 21/01/2025 13:20:42.810, 3.87653e+0, 3.88837e+0
21/01/2025 14:20:43.866, 21/01/2025 13:20:43.804, 3.71029e+0, 3.72205e+0
21/01/2025 14:20:44.859, 21/01/2025 13:20:44.799, 3.54627e+0, 3.55727e+0
21/01/2025 14:20:45.850, 21/01/2025 13:20:45.794, 3.41142e+0, 3.42233e+0
21/01/2025 14:20:46.859, 21/01/2025 13:20:46.788, 3.29562e+0, 3.30581e+0
21/01/2025 14:20:47.849, 21/01/2025 13:20:47.783, 3.20302e+0, 3.21362e+0
21/01/2025 14:20:48.845, 21/01/2025 13:20:48.777, 3.13395e+0, 3.14392e+0
21/01/2025 14:20:49.842, 21/01/2025 13:20:49.772, 3.08122e+0, 3.09115e+0
21/01/2025 14:20:50.838, 21/01/2025 13:20:50.767, 3.03338e+0, 3.04325e+0
21/01/2025 14:20:51.834, 21/01/2025 13:20:51.761, 2.99750e+0, 3.00800e+0
21/01/2025 14:20:52.812, 21/01/2025 13:20:52.756, 2.98311e+0, 2.99347e+0
21/01/2025 14:20:53.821, 21/01/2025 13:20:53.750, 2.96317e+0, 2.97323e+0
21/01/2025 14:20:54.808, 21/01/2025 13:20:54.744, 2.97186e+0, 2.98212e+0
21/01/2025 14:20:55.807, 21/01/2025 13:20:55.739, 5.44265e+0, 5.46052e+0
21/01/2025 14:20:56.817, 21/01/2025 13:20:56.734, 3.37242e+1, 3.37774e+1
21/01/2025 14:20:57.816, 21/01/2025 13:20:57.729, 1.13064e+2, 1.12979e+2
21/01/2025 14:20:58.793, 21/01/2025 13:20:58.723, 2.25291e+2, 2.24745e+2
21/01/2025 14:20:59.784, 21/01/2025 13:20:59.717, 3.42516e+2, 3.41061e+2
21/01/2025 14:21:00.785, 21/01/2025 13:21:00.711, 4.43430e+2, 4.40826e+2
21/01/2025 14:21:01.781, 21/01/2025 13:21:01.706, 5.26797e+2, 5.23103e+2
21/01/2025 14:21:02.767, 21/01/2025 13:21:02.700, 5.95227e+2, 5.90661e+2
21/01/2025 14:21:03.764, 21/01/2025 13:21:03.696, 6.46977e+2, 6.41540e+2
21/01/2025 14:21:04.759, 21/01/2025 13:21:04.689, 6.83981e+2, 6.77851e+2
21/01/2025 14:21:05.746, 21/01/2025 13:21:05.684, 7.12323e+2, 7.05782e+2
21/01/2025 14:21:06.748, 21/01/2025 13:21:06.679, 7.34055e+2, 7.27166e+2
21/01/2025 14:21:07.746, 21/01/2025 13:21:07.673, 7.47542e+2, 7.40335e+2
21/01/2025 14:21:08.732, 21/01/2025 13:21:08.668, 7.58829e+2, 7.51388e+2
21/01/2025 14:21:09.730, 21/01/2025 13:21:09.663, 7.67687e+2, 7.60130e+2
21/01/2025 14:21:10.724, 21/01/2025 13:21:10.657, 7.73915e+2, 7.66139e+2
21/01/2025 14:21:11.711, 21/01/2025 13:21:11.651, 7.79997e+2, 7.72119e+2
21/01/2025 14:21:12.705, 21/01/2025 13:21:12.645, 7.84398e+2, 7.76548e+2
21/01/2025 14:21:13.697, 21/01/2025 13:21:13.640, 7.86437e+2, 7.78546e+2
21/01/2025 14:21:14.705, 21/01/2025 13:21:14.641, 7.87902e+2, 7.79940e+2
21/01/2025 14:21:15.698, 21/01/2025 13:21:15.636, 7.89021e+2, 7.80999e+2
21/01/2025 14:21:16.689, 21/01/2025 13:21:16.630, 7.89995e+2, 7.81947e+2
21/01/2025 14:21:17.684, 21/01/2025 13:21:17.625, 7.91145e+2, 7.83111e+2
21/01/2025 14:21:18.677, 21/01/2025 13:21:18.620, 7.92322e+2, 7.84363e+2
21/01/2025 14:21:19.676, 21/01/2025 13:21:19.614, 7.93222e+2, 7.85120e+2
21/01/2025 14:21:20.669, 21/01/2025 13:21:20.609, 7.94518e+2, 7.86464e+2
21/01/2025 14:21:21.662, 21/01/2025 13:21:21.604, 7.94213e+2, 7.86151e+2
21/01/2025 14:21:22.654, 21/01/2025 13:21:22.598, 7.94885e+2, 7.86771e+2
21/01/2025 14:21:23.657, 21/01/2025 13:21:23.592, 7.95211e+2, 7.87063e+2
21/01/2025 14:21:24.642, 21/01/2025 13:21:24.587, 7.96018e+2, 7.88015e+2
21/01/2025 14:21:25.641, 21/01/2025 13:21:25.582, 7.99023e+2, 7.91015e+2
21/01/2025 14:21:26.637, 21/01/2025 13:21:26.575, 7.95648e+2, 7.87566e+2
21/01/2025 14:21:27.642, 21/01/2025 13:21:27.577, 7.94642e+2, 7.86489e+2
21/01/2025 14:21:28.628, 21/01/2025 13:21:28.572, 7.95392e+2, 7.87212e+2
21/01/2025 14:21:29.623, 21/01/2025 13:21:29.566, 7.95526e+2, 7.87444e+2
21/01/2025 14:21:30.622, 21/01/2025 13:21:30.561, 7.96955e+2, 7.88806e+2
21/01/2025 14:21:31.614, 21/01/2025 13:21:31.555, 7.96607e+2, 7.88445e+2
21/01/2025 14:21:32.605, 21/01/2025 13:21:32.550, 7.98979e+2, 7.90925e+2
21/01/2025 14:21:33.599, 21/01/2025 13:21:33.544, 7.96380e+2, 7.88227e+2
21/01/2025 14:21:34.603, 21/01/2025 13:21:34.538, 7.96678e+2, 7.88463e+2
21/01/2025 14:21:35.591, 21/01/2025 13:21:35.533, 7.96370e+2, 7.88152e+2
21/01/2025 14:21:36.586, 21/01/2025 13:21:36.528, 7.96040e+2, 7.87903e+2
21/01/2025 14:21:37.589, 21/01/2025 13:21:37.522, 7.96247e+2, 7.88066e+2
21/01/2025 14:21:38.582, 21/01/2025 13:21:38.517, 7.97547e+2, 7.89398e+2
21/01/2025 14:21:39.574, 21/01/2025 13:21:39.511, 7.96531e+2, 7.88258e+2
21/01/2025 14:21:40.568, 21/01/2025 13:21:40.505, 7.97010e+2, 7.88834e+2
21/01/2025 14:21:41.573, 21/01/2025 13:21:41.500, 7.97204e+2, 7.88980e+2
21/01/2025 14:21:42.555, 21/01/2025 13:21:42.495, 7.97389e+2, 7.89123e+2
21/01/2025 14:21:43.547, 21/01/2025 13:21:43.490, 7.97227e+2, 7.88951e+2
21/01/2025 14:21:44.550, 21/01/2025 13:21:44.484, 7.98735e+2, 7.90535e+2
21/01/2025 14:21:45.540, 21/01/2025 13:21:45.478, 7.98211e+2, 7.89985e+2
21/01/2025 14:21:46.529, 21/01/2025 13:21:46.473, 7.98398e+2, 7.90061e+2
21/01/2025 14:21:47.530, 21/01/2025 13:21:47.467, 7.98569e+2, 7.90295e+2
21/01/2025 14:21:48.526, 21/01/2025 13:21:48.462, 7.98377e+2, 7.90009e+2
21/01/2025 14:21:49.520, 21/01/2025 13:21:49.456, 8.00566e+2, 7.92342e+2
21/01/2025 14:21:50.511, 21/01/2025 13:21:50.451, 8.00328e+2, 7.92021e+2
21/01/2025 14:21:51.507, 21/01/2025 13:21:51.446, 7.99316e+2, 7.90938e+2
21/01/2025 14:21:52.498, 21/01/2025 13:21:52.440, 7.99620e+2, 7.91261e+2
21/01/2025 14:21:53.493, 21/01/2025 13:21:53.434, 8.00678e+2, 7.92361e+2
21/01/2025 14:21:54.488, 21/01/2025 13:21:54.429, 8.01490e+2, 7.93227e+2
21/01/2025 14:21:55.486, 21/01/2025 13:21:55.423, 8.00214e+2, 7.91747e+2
21/01/2025 14:21:56.481, 21/01/2025 13:21:56.418, 8.00179e+2, 7.91764e+2
21/01/2025 14:21:57.472, 21/01/2025 13:21:57.412, 8.00652e+2, 7.92307e+2
21/01/2025 14:21:58.469, 21/01/2025 13:21:58.407, 8.00738e+2, 7.92278e+2
21/01/2025 14:21:59.468, 21/01/2025 13:21:59.401, 8.01247e+2, 7.92877e+2
21/01/2025 14:22:00.454, 21/01/2025 13:22:00.396, 8.03895e+2, 7.95631e+2
21/01/2025 14:22:01.449, 21/01/2025 13:22:01.390, 8.01074e+2, 7.92638e+2
21/01/2025 14:22:02.445, 21/01/2025 13:22:02.385, 8.03846e+2, 7.95496e+2
21/01/2025 14:22:03.444, 21/01/2025 13:22:03.380, 8.00191e+2, 7.91962e+2
21/01/2025 14:22:04.430, 21/01/2025 13:22:04.374, 8.01008e+2, 7.92546e+2
21/01/2025 14:22:05.433, 21/01/2025 13:22:05.369, 8.02383e+2, 7.93899e+2
21/01/2025 14:22:06.429, 21/01/2025 13:22:06.363, 8.03027e+2, 7.94551e+2
21/01/2025 14:22:07.422, 21/01/2025 13:22:07.358, 8.02299e+2, 7.93789e+2
21/01/2025 14:22:08.413, 21/01/2025 13:22:08.352, 8.01650e+2, 7.93208e+2
21/01/2025 14:22:09.406, 21/01/2025 13:22:09.347, 8.01715e+2, 7.93336e+2
21/01/2025 14:22:10.401, 21/01/2025 13:22:10.341, 8.01980e+2, 7.93636e+2
21/01/2025 14:22:11.392, 21/01/2025 13:22:11.336, 8.02513e+2, 7.94044e+2
21/01/2025 14:22:12.394, 21/01/2025 13:22:12.331, 8.02514e+2, 7.94108e+2
21/01/2025 14:22:13.386, 21/01/2025 13:22:13.325, 8.03022e+2, 7.94612e+2
21/01/2025 14:22:14.376, 21/01/2025 13:22:14.319, 8.03287e+2, 7.95022e+2
21/01/2025 14:22:15.377, 21/01/2025 13:22:15.314, 8.02617e+2, 7.94206e+2
21/01/2025 14:22:16.377, 21/01/2025 13:22:16.308, 8.01768e+2, 7.93306e+2
21/01/2025 14:22:17.362, 21/01/2025 13:22:17.303, 8.02202e+2, 7.93653e+2
21/01/2025 14:22:18.354, 21/01/2025 13:22:18.297, 8.01691e+2, 7.93051e+2
21/01/2025 14:22:19.353, 21/01/2025 13:22:19.293, 8.00760e+2, 7.92367e+2
21/01/2025 14:22:20.352, 21/01/2025 13:22:20.287, 8.00327e+2, 7.91758e+2
21/01/2025 14:22:21.346, 21/01/2025 13:22:21.281, 7.99742e+2, 7.91243e+2
21/01/2025 14:22:22.332, 21/01/2025 13:22:22.276, 8.01322e+2, 7.92696e+2
21/01/2025 14:22:23.332, 21/01/2025 13:22:23.270, 8.01955e+2, 7.93373e+2
21/01/2025 14:22:24.330, 21/01/2025 13:22:24.265, 8.01620e+2, 7.93037e+2
21/01/2025 14:22:25.318, 21/01/2025 13:22:25.259, 8.03249e+2, 7.94667e+2
21/01/2025 14:22:26.315, 21/01/2025 13:22:26.254, 8.02151e+2, 7.93578e+2
21/01/2025 14:22:27.310, 21/01/2025 13:22:27.248, 8.01489e+2, 7.92918e+2
21/01/2025 14:22:28.305, 21/01/2025 13:22:28.243, 8.02992e+2, 7.94376e+2
21/01/2025 14:22:29.301, 21/01/2025 13:22:29.237, 8.02358e+2, 7.93848e+2
21/01/2025 14:22:30.291, 21/01/2025 13:22:30.232, 8.02013e+2, 7.93396e+2
21/01/2025 14:22:31.293, 21/01/2025 13:22:31.226, 8.02337e+2, 7.93696e+2
21/01/2025 14:22:32.280, 21/01/2025 13:22:32.221, 8.02386e+2, 7.93895e+2
21/01/2025 14:22:33.272, 21/01/2025 13:22:33.216, 8.03535e+2, 7.95009e+2
21/01/2025 14:22:34.271, 21/01/2025 13:22:34.210, 8.04911e+2, 7.96411e+2
21/01/2025 14:22:35.274, 21/01/2025 13:22:35.204, 8.04289e+2, 7.95675e+2
21/01/2025 14:22:36.253, 21/01/2025 13:22:36.200, 8.03830e+2, 7.95253e+2
21/01/2025 14:22:37.256, 21/01/2025 13:22:37.194, 8.04599e+2, 7.95940e+2
21/01/2025 14:22:38.251, 21/01/2025 13:22:38.188, 8.06902e+2, 7.98421e+2
21/01/2025 14:22:39.243, 21/01/2025 13:22:39.182, 8.04355e+2, 7.95610e+2
21/01/2025 14:22:40.242, 21/01/2025 13:22:40.177, 8.04075e+2, 7.95528e+2
21/01/2025 14:22:41.232, 21/01/2025 13:22:41.172, 8.04323e+2, 7.95684e+2
21/01/2025 14:22:42.227, 21/01/2025 13:22:42.167, 8.03350e+2, 7.94705e+2
21/01/2025 14:22:43.222, 21/01/2025 13:22:43.161, 8.03494e+2, 7.94760e+2
21/01/2025 14:22:44.214, 21/01/2025 13:22:44.155, 8.03290e+2, 7.94624e+2
