A0: 178
2025-02-13 14:54:20.357687Ax: 1023
2025-02-13 14:54:20.357855A1: 491
2025-02-13 14:54:20.357982A0: 179
2025-02-13 14:54:21.381875Ax: 1023
2025-02-13 14:54:21.382114A1: 490
2025-02-13 14:54:21.382227A0: 180
2025-02-13 14:54:22.405800Ax: 1023
2025-02-13 14:54:22.406037A1: 492
2025-02-13 14:54:22.406162A0: 179
2025-02-13 14:54:23.429328Ax: 1023
2025-02-13 14:54:23.429605A1: 492
2025-02-13 14:54:23.429938A0: 178
2025-02-13 14:54:24.452934Ax: 1023
2025-02-13 14:54:24.453075A1: 492
2025-02-13 14:54:24.453175A0: 179
2025-02-13 14:54:25.476964Ax: 1023
2025-02-13 14:54:25.477194A1: 490
2025-02-13 14:54:25.477387A0: 178
2025-02-13 14:54:26.500768Ax: 1023
2025-02-13 14:54:26.500958A1: 491
2025-02-13 14:54:26.501068A0: 179
2025-02-13 14:54:27.524533Ax: 1023
2025-02-13 14:54:27.524827A1: 492
2025-02-13 14:54:27.524962A0: 179
2025-02-13 14:54:28.548239Ax: 1023
2025-02-13 14:54:28.548484A1: 492
2025-02-13 14:54:28.548688A0: 179
2025-02-13 14:54:29.571916Ax: 1023
2025-02-13 14:54:29.572163A1: 491
2025-02-13 14:54:29.572362A0: 178
2025-02-13 14:54:30.595684Ax: 1023
2025-02-13 14:54:30.595870A1: 491
2025-02-13 14:54:30.595979A0: 179
2025-02-13 14:54:31.619399Ax: 1023
2025-02-13 14:54:31.619737A1: 491
2025-02-13 14:54:31.619877A0: 179
2025-02-13 14:54:32.643146Ax: 1023
2025-02-13 14:54:32.643446A1: 490
2025-02-13 14:54:32.643690A0: 178
2025-02-13 14:54:33.666819Ax: 1023
2025-02-13 14:54:33.667121A1: 493
2025-02-13 14:54:33.667371A0: 179
2025-02-13 14:54:34.690461Ax: 1023
2025-02-13 14:54:34.692784A1: 491
2025-02-13 14:54:34.693029A0: 179
2025-02-13 14:54:35.714270Ax: 1023
2025-02-13 14:54:35.714513A1: 491
2025-02-13 14:54:35.714634A0: 179
2025-02-13 14:54:36.737871Ax: 1023
2025-02-13 14:54:36.738115A1: 491
2025-02-13 14:54:36.738312A0: 178
2025-02-13 14:54:37.761623Ax: 1023
2025-02-13 14:54:37.761910A1: 493
2025-02-13 14:54:37.762113A0: 179
2025-02-13 14:54:38.785328Ax: 1023
2025-02-13 14:54:38.785572A1: 493
2025-02-13 14:54:38.785812A0: 178
2025-02-13 14:54:39.809064Ax: 1023
2025-02-13 14:54:39.811242A1: 492
2025-02-13 14:54:39.811390A0: 179
2025-02-13 14:54:40.832917Ax: 1023
2025-02-13 14:54:40.833161A1: 493
2025-02-13 14:54:40.833325A0: 179
2025-02-13 14:54:41.856615Ax: 1023
2025-02-13 14:54:41.856911A1: 491
2025-02-13 14:54:41.857110A0: 180
